Matricula,Grupo,Practica1,Practica2,Practica3,Practica4,Practica5,Practica6,Practica7,Practica8,Practica9,Practica10,Total
4080,008 Viernes 6 - 8,10,10,10,10,7,10,7,7,0,0,71
3582,008 Viernes 6 - 8,10,7,10,10,7,10,7,7,7,0,75
0089,008 Viernes 6 - 8,7,0,0,0,0,0,0,0,0,0,7
1648,008 Viernes 6 - 8,10,10,10,7,10,10,7,7,7,0,78
1589,008 Viernes 6 - 8,10,10,7,7,7,7,7,7,7,7,76
8902,008 Viernes 6 - 8,0,0,0,0,0,0,0,0,0,0,0
8601,008 Viernes 6 - 8,10,10,10,10,10,10,7,7,0,0,74
5961,008 Viernes 6 - 8,0,0,0,0,0,0,0,0,0,0,0
0308,008 Viernes 6 - 8,0,0,0,0,0,0,0,0,0,0,0
4781,008 Viernes 6 - 8,0,0,10,7,0,0,0,0,0,0,17
4657,008 Viernes 6 - 8,7,7,7,7,7,7,7,7,7,10,73
