Matricula,Grupo,Practica1,Practica2,Practica3,Practica4,Practica5,Practica6,Practica7,Practica8,Practica9,Practica10,Total
8149,,3,3,5,5,5,7,9,9,8,12,100
1581,,3,3,5,5,5,0,9,0,0,0,30
0693,,3,3,5,5,5,7,9,9,8,12,100
9942,,3,3,5,5,5,7,9,9,8,12,90
4969,,3,3,5,5,5,7,9,9,8,12,100
8881,,3,3,5,5,5,7,9,9,0,12,92
5815,,0,0,0,5,5,7,0,0,0,0,17
0124,,3,3,5,5,5,7,9,9,8,12,100
8787,,3,3,5,5,5,7,9,9,8,12,90
4607,,0,0,0,0,0,0,0,0,0,0,0
4608,,3,3,5,5,5,7,9,9,8,12,100
1479,,3,3,5,5,5,0,0,0,0,0,21
2168,,0,0,0,0,0,0,0,0,0,0,0
3282,,3,0,0,0,0,0,0,0,0,0,3
1974,,3,0,0,5,5,0,0,9,8,0,30
7711,,0,3,5,5,5,7,0,0,8,0,33
8753,,3,3,5,0,5,7,9,9,8,12,85
8881,,3,3,5,5,5,7,9,9,0,12,92
2224,,3,3,5,5,5,7,9,9,8,12,90
